ENST	Symbol	Mask	MAF Cutoff	p. value BOLT	p. value STAAR	p. value Logistic Model	Num. Carriers	log OR	standard err.	Prop. T2D	Num. Variants
ENST00000257555	HNF1A	HC PTV	MAF < 0.1%	4.4e-20	5.18324476454077e-18	2.55860942553824e-12	33	2.54009202647576	0.362867407068403	48.4848484848485	15
ENST00000650285	IGF1R	Missense REVEL ≥ 0.7	MAF < 0.1%	1.3e-10	1.68993929960948e-10	3.39392885713622e-10	394	0.884813176398223	0.140902254798016	15.989847715736	158
ENST00000627532	ZEB2	Missense REVEL ≥ 0.5	Singletons	6.4e-07	2.30969867454078e-07	1.96626726029424e-05	31	1.70057458656486	0.398383504324855	32.258064516129	31
ENST00000454349	TNRC6B	HC PTV	Singletons	1.4e-14	5.02931030155196e-13	2.8481024021123e-11	35	2.35325746187663	0.353648987370016	42.8571428571429	36
ENST00000454349	TNRC6B	HC PTV	MAF < 0.1%	4.1e-08	1.99216749652287e-07	1.77685352932116e-07	72	1.46411941337595	0.280413590069205	25	44
ENST00000403799	GCK	Missense REVEL ≥ 0.5	Singletons	1.7e-10	2.15272244474818e-13	4.7253682270242e-08	64	1.56291701990365	0.286177965540727	28.125	64
ENST00000403799	GCK	Missense REVEL ≥ 0.5	MAF < 0.1%	1.8e-18	7.55032931206053e-19	2.68932500424711e-17	690	0.895782830214554	0.105892960024741	16.231884057971	134
ENST00000403799	GCK	Missense REVEL ≥ 0.7	MAF < 0.1%	1.1e-24	1.32934879717319e-30	5.54428352431731e-22	431	1.18368340070105	0.122818679190357	20.4176334106729	93
ENST00000403799	GCK	Missense REVEL ≥ 0.7	Singletons	2.2e-13	1.99840144432528e-15	4.24133671970282e-10	47	1.98396413514308	0.317694668225621	34.0425531914894	47
ENST00000403799	GCK	HC PTV	MAF < 0.1%	2e-58	3.05047786533403e-52	9.20070469457707e-22	35	4.06968304874988	0.424566399107128	77.1428571428572	20
ENST00000313375	MLXIPL	Missense REVEL ≥ 0.7	MAF < 0.1%	3.2e-07	6.13867661702905e-06	3.35113156025163e-06	245	0.815779624119954	0.175510671139005	16.734693877551	36
ENST00000678049	GIGYF1	HC PTV	Singletons	1.3e-15	1.33226762955019e-15	1.1558006921992e-11	53	1.9793990376181	0.291704483016899	37.7358490566038	54
ENST00000678049	GIGYF1	HC PTV	MAF < 0.1%	4.4e-16	1.62288170512639e-16	3.70095248768904e-14	133	1.54206784150667	0.203678348479003	26.3157894736842	72
